variable;unit;min;max;definition
Investment|Infrastructure|Residential and Commercial|Low-Efficiency Buildings;billion US$2010/yr OR local currency;0;;investment into residential and commercial buildings infrastructure (all types of new buildings that are relatively low in their energy efficiency)
Investment|Infrastructure|Residential and Commercial|Medium-Efficiency Buildings;billion US$2010/yr OR local currency;0;;investment into residential and commercial buildings infrastructure (all types of new buildings that are relatively medium-range in their energy efficiency)
Investment|Infrastructure|Residential and Commercial|High-Efficiency Buildings;billion US$2010/yr OR local currency;0;;investment into residential and commercial buildings infrastructure (all types of new buildings that are relatively high in their energy efficiency)
Investment|Infrastructure|Residential and Commercial|Building Retrofits;billion US$2010/yr OR local currency;0;;investment into residential and commercial buildings infrastructure (all types of existing buildings that have been retrofitted to become more energy efficient)
Investment|Infrastructure|industry|Green;billion US$2010/yr OR local currency;0;;investment into industrial infrastructure (all types of new factories, plants, manufacturing facilities, etc. that are more efficient and utilize clean energy, as well as retrofits of non-green infrastructure to be more efficient and use clean energy)
Investment|Infrastructure|industry|Non-Green;billion US$2010/yr OR local currency;0;;investment into industrial infrastructure (all types of new factories, plants, manufacturing facilities, etc. that are not overly efficient and do not utilize clean energy, as well as retrofits of non-green infrastructure that are neither efficient nor use clean energy)
Investment|Infrastructure|Water|Cooling;billion US$2010/yr OR local currency;0;;investment into water-related infrastructure (thermal cooling at energy and industrial facilities)
Investment|Infrastructure|Water|Irrigation;billion US$2010/yr OR local currency;0;;investment into water-related infrastructure (conveyance of water via canals, aqueducts, irrigation ditches, pumps, etc.)
Investment|Infrastructure|Water|Other;billion US$2010/yr OR local currency;0;;investment into water-related infrastructure (other than for thermal cooling and irrigation)
Land Cover;million ha;0;;total land cover
Land Cover|Built-up Area;million ha;0;;total built-up land associated with human settlement
Land Cover|Cropland;million ha;0;;total arable land, i.e. land in bioenergy crop, food, and feed/fodder crops, permant crops as well as other arable land (physical area)
Land Cover|Forest;million ha;0;;managed and unmanaged forest area
Land Cover|Pasture;million ha;0;;pasture land. All categories of pasture land - not only high quality rangeland. Based on FAO definition of "permanent meadows and pastures"
Land Cover|Cropland|Cereals;million ha;0;;land dedicated to cereal crops: wheat, rice and coarse grains (maize, corn, millet, sorghum, barley, oats, rye)
Land Cover|Cropland|Energy Crops;million ha;0;;land dedicated to energy crops (e.g., switchgrass, miscanthus, fast-growing wood species)
Land Cover|Cropland|Energy Crops|Irrigated;million ha;0;;irrigated land dedicated to energy crops (e.g., switchgrass, miscanthus, fast-growing wood species)
Land Cover|Cropland|Irrigated;million ha;0;;irrigated arable land, i.e. land in non-forest bioenergy crop, food, and feed/fodder crops, as well as other arable land (cultivated area)
Land Cover|Forest|Afforestation and Reforestation;million ha;0;;Area for afforestation and reforestation
Land Cover|Forest|Forestry|Harvested Area;million ha;0;;Forest area harvested
Land Cover|Forest|Managed;million ha;0;;managed forests producing commercial wood supply for timber or energy (note: woody energy crops reported under "energy crops")
Land Cover|Forest|Natural Forest;million ha;0;;Undisturbed natural forests and modified natural forests
Land Cover|Other Arable Land;million ha;0;;other arable land that is unmanaged (e.g., grassland, savannah, shrubland), excluding unmanaged forests that are arable
Land Cover|Other Land;million ha;0;;other land cover that does not fit into any other category (please provide a definition of the sources in this category in the 'comments' tab)
Price|Carbon;US$2010/t CO2 or local currency/t CO2;0;;price of carbon (for regional aggregrates the weighted price of carbon by subregion should be used)
Policy Cost|Additional Total Energy System Cost;billion US$2010/yr OR local currency/yr;0;;additional energy system cost associated with the policy
Policy Cost|Area under MAC Curve;billion US$2010/yr OR local currency/yr;0;;total costs of the policy, i.e. the area under the Marginal Abatement Cost (MAC) curve
Policy Cost|Consumption Loss;billion US$2010/yr OR local currency/yr;0;;consumption loss in a policy scenario compared to the corresponding baseline (losses should be reported as positive numbers)
Policy Cost|Equivalent Variation;billion US$2010/yr OR local currency/yr;0;;equivalent variation associated with the given policy
Policy Cost|GDP Loss;billion US$2010/yr OR local currency/yr;0;;GDP loss in a policy scenario compared to the corresponding baseline (losses should be reported as positive numbers)
Policy Cost|Other;billion US$2010/yr OR local currency/yr;0;;any other indicator of policy cost (e.g., compensated variation). (please indicate what type of policy cost is measured on the 'comments' tab)
Policy Cost|Default for CAV;billion US$2010/yr OR local currency/yr;0;;total costs of the policy in the default metric (consumption losses for GE models, area under MAC curve for PE models if available) to be used for calculation of Cost over Abatement Value (CAV) indicator. Must be identical to the policy costs in one of the reported metrics.
Direct Risk|Asset Loss;billion US$2010/yr OR local currency/yr;0;;The risk of asset losses expressed in terms of their probability of
occurrence and destruction in monetary terms is modelled as a function of hazard
(frequency and intensity), the elements exposed to those hazards and their physical
sensitivity.
Fiscal Gap;billion US$2010/yr OR local currency/yr;0;;The potential fiscal gap, is assessed by simulating the risks to assets and fiscal resilience following stochastic disasters of different magnitudes.
Fiscal Resilience;billion US$2010/yr OR local currency/yr;0;;Fiscal resilience is defined as the access to domestic and external resources for absorbing asset risks (availability for budget diversion, access to domestic and international credit, availablitiy of insurance and other innovative financing instruments).
Indirect Risk|GDP Growth;%;0;;The consequences of a fiscal vulnerability and associated gaps on macroeconomic development
of the country are characterized with indicators, such as economic growth or the country’s external debt
position.
Indirect Risk|Public Debt;billion US$2010/yr OR local currency/yr;0;;The consequences of a fiscal vulnerability and associated gaps on macroeconomic development
of the country are characterized with indicators, such as economic growth or the country’s external debt
position.
Capital Cost|Electricity|Biomass|w/ CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new biomass power plant with CCS. If more than one CCS biomass power technology is modelled, modellers should report capital costs for each represented CCS biomass power technology by adding variables Capital Cost|Electricity|Biomass|w/ CCS|2, ... Capital Cost|Electricity|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS biomass power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Electricity|Biomass|w/o CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new biomass power plant w/o CCS. If more than one biomass power technology is modelled, modellers should report capital costs for each represented biomass power technology by adding variables Capital Cost|Electricity|Biomass|w/o CCS|2, ... Capital Cost|Electricity|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which biomass power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Electricity|Coal|w/ CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new coal power plant with CCS. If more than one CCS coal power technology is modelled (e.g. subcritical PC with post-combustion capture, supercritical PC with post-combustion capture, supercritical PC with oxyfuel combustion and capture, IGCC with pre-combustion capture), modellers should report capital costs for each represented CCS coal power technology by adding variables Capital Cost|Electricity|Coal|w/ CCS|2, ... Capital Cost|Electricity|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Electricity|Coal|w/o CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new coal power plant w/o CCS. If more than one coal power technology is modelled (e.g. subcritical PC, supercritical PC, IGCC), modellers should report capital costs for each represented coal power technology by adding variables Capital Cost|Electricity|Coal|w/o CCS|2, ... Capital Cost|Electricity|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Electricity|Gas|w/ CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new gas power plant with CCS. If more than one CCS gas power technology is modelled, modellers should report capital costs for each represented CCS gas power technology by adding variables Capital Cost|Electricity|Gas|w/ CCS|2, ... Capital Cost|Electricity|Gas|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS gas power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Electricity|Gas|w/o CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new gas power plant w/o CCS. If more than one gas power technology is modelled, modellers should report capital costs for each represented gas power technology by adding variables Capital Cost|Electricity|Gas|w/o CCS|2, ... Capital Cost|Electricity|Gas|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which gas power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Electricity|Geothermal;US$2010/kW OR local currency/kW;0;;Capital cost of a new geothermal power plant. If more than one geothermal power technology is modelled, modellers should report capital costs for each represented geothermal power technology by adding variables Capital Cost|Electricity|Geothermal|2, ... Capital Cost|Electricity|Geothermal|N (with N = number of represented technologies). It is modeller's choice which hydropower technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Electricity|Hydro;US$2010/kW OR local currency/kW;0;;Capital cost of a new hydropower plant. If more than one hydropower technology is modelled, modellers should report capital costs for each represented hydropower technology by adding variables Capital Cost|Electricity|Hydro|2, ... Capital Cost|Electricity|Hydro|N (with N = number of represented technologies). It is modeller's choice which hydropower technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Electricity|Nuclear;US$2010/kW OR local currency/kW;0;;Capital cost of a new nuclear power plants. If more than one nuclear power plant technology is modelled (e.g., Gen II, III, IV, LWR, thermal reactors with other moderator materials, fast breeders), modellers should report capital costs for each represented nuclear power technology by adding variables Capital Cost|Electricity|Nuclear|2, ... Capital|Cost|Electricity|Nuclear|N (with N = number of represented nuclear power technologies). It is modeller's choice which nuclear power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Electricity|Solar|CSP;US$2010/kW OR local currency/kW;0;;Capital cost of a new concentrated solar power plant. If more than one CSP technology is modelled (e.g., parabolic trough, solar power tower), modellers should report capital costs for each represented CSP technology by adding variables Capital Cost|Electricity|Solar|CSP|2, ... Capital|Cost|Electricity|Solar|CSP|N (with N = number of represented CSP technologies). It is modeller's choice which CSP technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Electricity|Solar|PV;US$2010/kW OR local currency/kW;0;;Capital cost of a new solar PV units. If more than one PV technology is modelled (e.g., centralized PV plant, distributed (rooftop) PV, crystalline SI PV, thin-film PV), modellers should report capital costs for each represented PV technology by adding variables Capital Cost|Electricity|Solar|PV|2, ... Capital|Cost|Electricity|Solar|PV|N (with N = number of represented PV technologies). It is modeller's choice which PV technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Electricity|Wind|Offshore;US$2010/kW OR local currency/kW;0;;Capital cost of a new offshore wind power plants. This variable should only be filled, if wind power is separated into onshore and offshore. If more than one offshore wind power technology is modelled (e.g., wind power units with different hub height and capacity), modellers should report capital costs for each represented wind power technology by adding variables Capital Cost|Electricity|Wind|Offshore|2, ... Capital|Cost|Electricity|Wind|Offshore|N (with N = number of represented offshore wind power technologies). It is modeller's choice which offshore wind power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Electricity|Wind|Onshore;US$2010/kW OR local currency/kW;0;;Capital cost of a new onshore wind power plants. This variable should only be filled, if wind power is separated into onshore and offshore. If more than one onshore wind power technology is modelled (e.g., wind power units with different hub height and capacity), modellers should report capital costs for each represented wind power technology by adding variables Capital Cost|Electricity|Wind|Onshore|2, ... Capital|Cost|Electricity|Wind|Onshore|N (with N = number of represented onshore wind power technologies). It is modeller's choice which onshore wind power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Gases|Biomass|w/ CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new biomass to gas plant with CCS. If more than one CCS biomass to gas technology is modelled, modellers should report capital costs for each represented CCS biomass to  gas technology by adding variables Capital Cost|Gases|Biomass|w/ CCS|2, ... Capital Cost|Gases|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS biomass to gas technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Gases|Biomass|w/o CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new biomass to gas plant w/o CCS. If more than one biomass to gas technology is modelled, modellers should report capital costs for each represented biomass to gas technology by adding variables Capital Cost|Gases|Biomass|w/o CCS|2, ... Capital Cost|Gases|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which biomass to gas technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Gases|Coal|w/ CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new coal to gas plant with CCS. If more than one CCS coal to gas technology is modelled, modellers should report capital costs for each represented CCS coal to  gas technology by adding variables Capital Cost|Gases|Coal|w/ CCS|2, ... Capital Cost|Gases|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS coal to gas technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Gases|Coal|w/o CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new coal to gas plant w/o CCS. If more than one coal to gas technology is modelled, modellers should report capital costs for each represented coal to gas technology by adding variables Capital Cost|Gases|Coal|w/o CCS|2, ... Capital Cost|Gases|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal to gas technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Hydrogen|Biomass|w/ CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new biomass to hydrogen plant with CCS. If more than one CCS biomass to hydrogen technology is modelled, modellers should report capital costs for each represented CCS biomass to hydrogen technology by adding variables Capital Cost|Hydrogen|Biomass|w/ CCS|2, ... Capital Cost|Hydrogen|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS biomass to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Hydrogen|Biomass|w/o CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new biomass to hydrogen plant w/o CCS. If more than one biomass to hydrogen technology is modelled, modellers should report capital costs for each represented biomass to hydrogen technology by adding variables Capital Cost|Hydrogen|Biomass|w/o CCS|2, ... Capital Cost|Hydrogen|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which biomass to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Hydrogen|Coal|w/ CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new coal to hydrogen plant with CCS. If more than one CCS coal to hydrogen technology is modelled, modellers should report capital costs for each represented CCS coal to hydrogen technology by adding variables Capital Cost|Hydrogen|Coal|w/ CCS|2, ... Capital Cost|Hydrogen|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS coal to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Hydrogen|Coal|w/o CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new coal to hydrogen plant w/o CCS. If more than one coal to hydrogen technology is modelled, modellers should report capital costs for each represented coal to hydrogen technology by adding variables Capital Cost|Hydrogen|Coal|w/o CCS|2, ... Capital Cost|Hydrogen|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Hydrogen|Electricity;US$2010/kW OR local currency/kW;0;;Capital cost of a new hydrogen-by-electrolysis plant. If more than hydrogen-by-electrolysis technology is modelled, modellers should report capital costs for each represented hydrogen-by-electrolysis technology by adding variables Capital Cost|Hydrogen|Electricity|2, ... Capital Cost|Hydrogen|Electricity|N (with N = number of represented technologies). It is modeller's choice which hydrogen-by-electrolysis technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Hydrogen|Gas|w/ CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new gas to hydrogen plant with CCS. If more than one CCS gas to hydrogen technology is modelled, modellers should report capital costs for each represented CCS gas to hydrogen technology by adding variables Capital Cost|Hydrogen|Gas|w/ CCS|2, ... Capital Cost|Hydrogen|Gas|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS gas to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Hydrogen|Gas|w/o CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new gas to hydrogen plant w/o CCS. If more than one gas to hydrogen technology is modelled, modellers should report capital costs for each represented gas to hydrogen technology by adding variables Capital Cost|Hydrogen|Gas|w/o CCS|2, ... Capital Cost|Hydrogen|Gas|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which gas to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Liquids|Biomass|w/ CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new biomass to liquids plant with CCS. If more than one CCS BTL technology is modelled, modellers should report capital costs for each represented CCS BTL technology by adding variables Capital Cost|Liquids|Biomass|w/ CCS|2, ... Capital Cost|Liquids|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Liquids|Biomass|w/o CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new biomass to liquids plant w/o CCS. If more than one BTL technology is modelled, modellers should report capital costs for each represented BTL technology by adding variables Capital Cost|Liquids|Biomass|w/o CCS|2, ... Capital Cost|Liquids|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Liquids|Coal|w/ CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new coal to liquids plant with CCS. If more than one CCS CTL technology is modelled, modellers should report capital costs for each represented CCS CTL technology by adding variables Capital Cost|Liquids|Coal|w/ CCS|2, ... Capital Cost|Liquids|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS CTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Liquids|Coal|w/o CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new coal to liquids plant w/o CCS. If more than one CTL technology is modelled, modellers should report capital costs for each represented CTL technology by adding variables Capital Cost|Liquids|Coal|w/o CCS|2, ... Capital Cost|Liquids|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which CTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Liquids|Gas|w/ CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new gas to liquids plant with CCS. If more than one CCS GTL technology is modelled, modellers should report capital costs for each represented CCS GTL technology by adding variables Capital Cost|Liquids|Gas|w/ CCS|2, ... Capital Cost|Liquids|Gas|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS GTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Liquids|Gas|w/o CCS;US$2010/kW OR local currency/kW;0;;Capital cost of a new gas to liquids plant w/o CCS. If more than one GTL technology is modelled, modellers should report capital costs for each represented GTL technology by adding variables Capital Cost|Liquids|Gas|w/o CCS|2, ... Capital Cost|Liquids|Gas|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which GTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Capital Cost|Liquids|Oil;US$2010/kW OR local currency/kW;0;;Capital cost of a new oil refining plant. If more than one refinery technology is modelled, modellers should report capital costs for each represented refinery technology by adding variables Capital Cost|Liquids|Oil|2, ... Capital Cost|Liquids|Oil|N (with N = number of represented technologies). It is modeller's choice which refinery technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet.
Efficiency|Electricity|Biomass|w/ CCS;%;0;;Conversion efficiency (electricity produced per unit of primary energy input) of a new biomass power plant with CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Electricity| Biomass|w/ CCS|2, ... Efficiency|Electricity|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Electricity|Biomass|w/o CCS;%;0;;Conversion efficiency (electricity produced per unit of primary energy input) of a new biomass power plant w/o CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Electricity|Biomass|w/o CCS|2, ... Efficiency|Electricity|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Electricity|Coal|w/ CCS;%;0;;Conversion efficiency (electricity produced per unit of primary energy input) of a new coal power plant with CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Electricity|Coal|w/ CCS|2, ... Efficiency|Electricity|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Electricity|Coal|w/o CCS;%;0;;Conversion efficiency (electricity produced per unit of primary energy input) of a new coal power plant w/o CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Electricity|Coal|w/o CCS|2, ... Efficiency|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Electricity|Gas|w/ CCS;%;0;;Conversion efficiency (electricity produced per unit of primary energy input) of a new gas power plant with CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Electricity|Gas|w/ CCS|2, ... Efficiency|Electricity|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Electricity|Gas|w/o CCS;%;0;;Conversion efficiency (electricity produced per unit of primary energy input) of a new gas power plant w/o CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Electricity|Gas|w/o CCS|2, ... Efficiency|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Gases|Biomass|w/ CCS;%;0;;Conversion efficiency (energy content of gases produced per unit of primary energy input) of a new biomass to gas plant with CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Gases|Biomass|w/ CCS|2, ... Efficiency|Gases|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Gases|Biomass|w/o CCS;%;0;;Conversion efficiency (energy content of gases produced per unit of primary energy input) of a new coal to gas plant w/o CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Gases|Coal|w/o CCS|2, ... Efficiency|Gases|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Gases|Coal|w/ CCS;%;0;;Conversion efficiency (energy content of gases produced per unit of primary energy input) of a new coal to gas plant with CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Gases|Coal|w/ CCS|2, ... Efficiency|Gases|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Gases|Coal|w/o CCS;%;0;;Conversion efficiency (energy content of gases produced per unit of primary energy input) of a new coal to gas plant w/o CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Gases|Coal|w/o CCS|2, ... Efficiency|Gases|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Hydrogen|Biomass|w/ CCS;%;0;;Conversion efficiency (energy content of hydrogen produced per unit of primary energy input) of a new biomass to hydrogen plant with CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Hydrogen|Biomass|w/ CCS|2, ... Efficiency|Hydrogen|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Hydrogen|Biomass|w/o CCS;%;0;;Conversion efficiency (energy content of hydrogen produced per unit of primary energy input) of a new biomass to hydrogen plant w/o CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Hydrogen|Biomass|w/o CCS|2, ... Efficiency|Hydrogen|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Hydrogen|Coal|w/ CCS;%;0;;Conversion efficiency (energy content of hydrogen produced per unit of primary energy input) of a new coal to hydrogen plant with CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Hydrogen|Coal|w/ CCS|2, ... Efficiency|Hydrogen|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Hydrogen|Coal|w/o CCS;%;0;;Conversion efficiency (energy content of hydrogen produced per unit of primary energy input) of a new coal to hydrogen plant w/o CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Hydrogen|Coal|w/o CCS|2, ... Efficiency|Hydrogen|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Hydrogen|Electricity;%;0;;Conversion efficiency (energy content of hydrogen produced per unit of electricity input) of a new hydrogen-by-electrolysis plant. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Hydrogen|Electricity|2, ... Efficiency|Hydrogen|Electricity|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Hydrogen|Gas|w/ CCS;%;0;;Conversion efficiency (energy content of hydrogen produced per unit of primary energy input) of a new gas to hydrogen plant with CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Hydrogen|Gas|w/ CCS|2, ... Efficiency|Hydrogen|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Hydrogen|Gas|w/o CCS;%;0;;Conversion efficiency (energy content of hydrogen produced per unit of primary energy input) of a new gas to hydrogen plant w/o CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Hydrogen|Gas|w/o CCS|2, ... Efficiency|Hydrogen|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
